ID,Titulo,Genero,Lançamento,Duração,Nota,MetaScore,Votos,Faturamento,Sinopse
63,Batman: O Cavaleiro das Trevas Ressurge,"Action, Drama, Thriller            ",2012,164,8.4,78,1744117,448.14,"Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terrorist Bane."
64,"Aliens, O Resgate","Action, Adventure, Sci-Fi            ",1986,137,8.4,84,733359,85.16,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
65,Vá e Veja,"Drama, Thriller, War            ",1985,142,8.4,NA,86276,#91,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II."
66,Your Name.,"Animation, Drama, Fantasy            ",2016,106,8.4,79,287942,05.02,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
67,Viva: A Vida é uma Festa,"Animation, Adventure, Comedy            ",I 2017,105,8.4,81,536150,209.73,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
68,WALL·E,"Animation, Adventure, Family            ",2008,98,8.4,95,1144864,223.81,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
69,Amadeus,"Biography, Drama, Music            ",1984,160,8.4,88,410163,51.97,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
70,Dr. Fantástico,"Comedy, War            ",1964,95,8.4,97,500925,0.28,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
71,A Vida dos Outros,"Drama, Mystery, Thriller            ",2006,137,8.4,89,397032,11.29,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives."
72,Cafarnaum,Drama,2018,126,8.4,75,95528,1.66,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect."
73,Crepúsculo dos Deuses,"Drama, Film-Noir            ",1950,110,8.4,94,227155,#60,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
74,O Barco: Inferno no Mar,"Drama, War            ",1981,149,8.4,86,255896,11.49,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
75,3 Idiotas,"Comedy, Drama            ",2009,170,8.4,67,411406,6.53,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
76,Testemunha de Acusação,"Crime, Drama, Mystery            ",1957,116,8.4,76,129741,8.18,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
77,Glória Feita de Sangue,"Drama, War            ",1957,88,8.4,90,202472,#61,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them."
78,O Grande Ditador,"Comedy, Drama, War            ",1940,125,8.4,NA,229007,0.29,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
79,Céu E Inferno,"Crime, Drama, Mystery            ",1963,143,8.4,90,47938,#86,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
80,Bastardos Inglórios,"Adventure, Drama, War            ",2009,153,8.3,69,1494354,120.54,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
81,Gênio Indomável,"Drama, Romance            ",1997,126,8.3,70,1005471,138.43,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
82,Réquiem para um Sonho,Drama,2000,102,8.3,71,862682,3.64,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.
